K,Stakeholder,Action,Cost
1,News publishers,employ people to fact check AI.,2.3
2,Unions,force employers to have fair practice for lay-offs when AI replacements are involved.,1.3
3,Government,provide financial support and benefits to individuals who lost jobs to AI replacements.,2.8
4,News publishers,not replace journalists with AI.,1.8
5,Employers,not replace human jobs with AI.,1.8
6,News publishers,strengthen the human element in journalism.,1.5
7,Government,require companies to keep a higher percentage of human employees.,1.5
8,News publishers,raise awareness about the potential harms of AI.,1.0
9,Schools,provide re-training and re-skilling programs for displaced workers.,2.0
10,News publishers,limit the use of AI in news stories.,1.0
11,Government,make it illegal to replace human jobs with AI.,4.0
12,Government,provide universal basic income for those replaced by AI.,3.0
13,Government,impose an AI tax for the use of AI in companies to encourage the employment of human jobs.,1.3
14,Government,pass laws requiring a company to have a minimum number of people employed in order to use AI.,1.0
15,Tech companies,provide classes for people to learn about how to use AI effectively.,2.0
16,Local communities,hold discussions on effects of AI on unemployment in the community.,1.5
